Key;NIBE Default;Intervall;Disabled;Device;Subdevice;Enum;Writeable;Comment;Relevant;Titel;Re­gister­typ;Re­gister;Divi­sions­faktor;Ein­heit;Vari­ablen­größe;Mindest­wert;Höchst­wert;Stan­dard­wert
h02987;;;;;;;;;no;id:12680;MODBUS_HOLDING_REGISTER;2987;1;;u8;0;15;0
h02988;;;;;;;;;no;id:12681;MODBUS_HOLDING_REGISTER;2988;1;;u8;0;15;0
h02989;;;;;;;;;no;id:12682;MODBUS_HOLDING_REGISTER;2989;1;;u8;0;15;0
h02990;;;;;;;;;no;id:12683;MODBUS_HOLDING_REGISTER;2990;1;;u8;0;15;0
h02991;;;;;;;;;no;id:12684;MODBUS_HOLDING_REGISTER;2991;1;;u8;0;15;0
h02992;;;;;;;;;no;id:12685;MODBUS_HOLDING_REGISTER;2992;1;;u8;0;15;0
h02993;;;;;;;;;no;id:12686;MODBUS_HOLDING_REGISTER;2993;1;;u8;0;15;0
h02994;;;;;;;;;no;id:12687;MODBUS_HOLDING_REGISTER;2994;1;;u8;0;15;0
h02995;;;;;;;;;no;id:12688;MODBUS_HOLDING_REGISTER;2995;1;;u8;0;15;0
h02996;;;;;;;;;no;id:12689;MODBUS_HOLDING_REGISTER;2996;1;;u8;0;15;0
h02997;;;;;;;;;no;id:12690;MODBUS_HOLDING_REGISTER;2997;1;;u8;0;15;0
h02998;;;;;;;;;no;id:12691;MODBUS_HOLDING_REGISTER;2998;1;;u8;0;3;0
h03020;;;;;;;;;no;id:21077;MODBUS_HOLDING_REGISTER;3020;1;;u8;0;0;0
h03021;;;;;;;;;no;id:21078;MODBUS_HOLDING_REGISTER;3021;1;;u8;0;0;0
h03022;;;;;;;;;no;id:21079;MODBUS_HOLDING_REGISTER;3022;1;;u8;0;0;0
h03023;;;;;;;;;no;id:21080;MODBUS_HOLDING_REGISTER;3023;1;;u8;0;0;0
h03024;;;;;;;;;no;id:21081;MODBUS_HOLDING_REGISTER;3024;1;;u8;0;0;0
h03025;;;;;;;;;no;id:21082;MODBUS_HOLDING_REGISTER;3025;1;;u8;0;0;0
h03026;;;;;;;;;no;id:21083;MODBUS_HOLDING_REGISTER;3026;1;;u8;0;0;0
h03027;;;;;;;;;no;id:21084;MODBUS_HOLDING_REGISTER;3027;1;;u8;0;0;0
h03028;;;;ENERGY;iZH;;;;yes;Elektroheizpatronenleistung Reservebetrieb;MODBUS_HOLDING_REGISTER;3028;100;kW;s16;0;4500;600
