Titel	Re­gister­typ	Re­gister	Divi­sions­faktor	Ein­heit	Vari­ablen­größe	Mindest­wert	Höchst­wert	Stan­dard­wert	
Ventilatorstatus (EB101-EP14)	MODBUS_INPUT_REGISTER	556	1		u8	0	0	0
Ventilator U/min (EB101-EP14)	MODBUS_INPUT_REGISTER	557	1	rpm	u16	0	0	0
Hochtemp.alarm Kondensatoraustritt (S135)	MODBUS_INPUT_REGISTER	575	1		u16	0	0	0
Hochtemp.alarm Kondensatoreintritt (S135)	MODBUS_INPUT_REGISTER	576	1		u16	0	0	0
Betriebsmodus PV-Module	MODBUS_INPUT_REGISTER	579	1		u8	0	0	0
EME Luxusmodus ohne EME	MODBUS_INPUT_REGISTER	581	1		u8	0	0	0
Timer (EME)	MODBUS_INPUT_REGISTER	582	60	min	u16	0	0	0
Ventilatormodus 4	MODBUS_INPUT_REGISTER	590	1	%	u8	0	0	0
Ventilatormodus 3	MODBUS_INPUT_REGISTER	591	1	%	u8	0	0	0
Ventilatormodus 2	MODBUS_INPUT_REGISTER	592	1	%	u8	0	0	0
Ist der Verdichter verfügbar	MODBUS_INPUT_REGISTER	593	1		u8	0	0	0
Vorrang Brauchwasser (OPT)	MODBUS_INPUT_REGISTER	604	1		u8	0	0	0
(Nicht definiert) zulassen	MODBUS_INPUT_REGISTER	683	1		u8	0	0	0
(Nicht definiert) zulassen	MODBUS_INPUT_REGISTER	684	1		u8	0	0	0
(Nicht definiert) zulassen	MODBUS_INPUT_REGISTER	685	1		u8	0	0	0
(OPT 10) ZH zulassen	MODBUS_INPUT_REGISTER	686	1		u8	0	0	0
Externe Elektroheizpatronenstufen zulassen	MODBUS_INPUT_REGISTER	687	1		u8	0	0	0
Interne Elektroheizpatronenstufen zulassen	MODBUS_INPUT_REGISTER	688	1		u8	0	0	0
MV-gesteuerte ZH zulassen	MODBUS_INPUT_REGISTER	689	1		u8	0	0	0
Zusatzheizung mit Vorrang zulassen	MODBUS_INPUT_REGISTER	690	1		u8	0	0	0
(EB108-EP15) zulassen	MODBUS_INPUT_REGISTER	691	1		u8	0	0	0
(EB107-EP15) zulassen	MODBUS_INPUT_REGISTER	692	1		u8	0	0	0
(EB106-EP15) zulassen	MODBUS_INPUT_REGISTER	693	1		u8	0	0	0
(EB105-EP15) zulassen	MODBUS_INPUT_REGISTER	694	1		u8	0	0	0
(EB104-EP15) zulassen	MODBUS_INPUT_REGISTER	695	1		u8	0	0	0
(EB103-EP15) zulassen	MODBUS_INPUT_REGISTER	696	1		u8	0	0	0
(EB102-EP15) zulassen	MODBUS_INPUT_REGISTER	697	1		u8	0	0	0
(EB101-EP15) zulassen	MODBUS_INPUT_REGISTER	698	1		u8	0	0	0
(EB100-EP15) zulassen	MODBUS_INPUT_REGISTER	699	1		u8	0	0	0
(EB108-EP14) zulassen	MODBUS_INPUT_REGISTER	700	1		u8	0	0	0
(EB107-EP14) zulassen	MODBUS_INPUT_REGISTER	701	1		u8	0	0	0
(EB106-EP14) zulassen	MODBUS_INPUT_REGISTER	702	1		u8	0	0	0
(EB105-EP14) zulassen	MODBUS_INPUT_REGISTER	703	1		u8	0	0	0
(EB104-EP14) zulassen	MODBUS_INPUT_REGISTER	704	1		u8	0	0	0
(EB103-EP14) zulassen	MODBUS_INPUT_REGISTER	705	1		u8	0	0	0
(EB102-EP14) zulassen	MODBUS_INPUT_REGISTER	706	1		u8	0	0	0
(EB101-EP14) zulassen	MODBUS_INPUT_REGISTER	707	1		u8	0	0	0
(EB100-EP14) zulassen	MODBUS_INPUT_REGISTER	708	1		u8	0	0	0
Smart energy source, Vorrang 7, Start GM	MODBUS_INPUT_REGISTER	709	1		s32	0	0	0
Smart energy source, Vorrang 6, Start GM	MODBUS_INPUT_REGISTER	711	1		s32	0	0	0
Smart energy source, Vorrang 5, Start GM	MODBUS_INPUT_REGISTER	713	1		s32	0	0	0
Smart energy source, Vorrang 4, Start GM	MODBUS_INPUT_REGISTER	715	1		s32	0	0	0
Smart energy source, Vorrang 3, Start GM	MODBUS_INPUT_REGISTER	717	1		s32	0	0	0
Smart energy source, Vorrang 2, Start GM	MODBUS_INPUT_REGISTER	719	1		s32	0	0	0
Smart energy source, Vorrang 1, Start GM	MODBUS_INPUT_REGISTER	721	1		s32	0	0	0
Smart energy source, Vorrang 7, Stopp GM	MODBUS_INPUT_REGISTER	723	1		s32	0	0	0
Smart energy source, Vorrang 6, Stopp GM	MODBUS_INPUT_REGISTER	725	1		s32	0	0	0
Smart energy source, Vorrang 5, Stopp GM	MODBUS_INPUT_REGISTER	727	1		s32	0	0	0
